B01001_001E,B19013_001E,NAME,state,county
36161,15037,"Moca Municipio, Puerto Rico",72,099
28109,18189,"Salinas Municipio, Puerto Rico",72,123
13574,35357,"Mississippi County, Missouri",29,133
9207,31947,"Ozark County, Missouri",29,153
12225,44158,"Bollinger County, Missouri",29,017
183437,67204,"Sumner County, Tennessee",47,165
10231,56321,"Trousdale County, Tennessee",47,169
7654,32167,"Clay County, Tennessee",47,027
14641,61456,"Moultrie County, Illinois",17,139
15672,47492,"Pike County, Illinois",17,149
4203,38056,"Pope County, Illinois",17,151
262338,55179,"St. Clair County, Illinois",17,163
21737,52953,"Shelby County, Illinois",17,173
209922,52797,"Champaign County, Illinois",17,019
4830,63009,"Calhoun County, Illinois",17,013
13270,52092,"Ford County, Illinois",17,053
531376,79394,"Kane County, Illinois",17,089
126054,96563,"Kendall County, Illinois",17,093
6628,61655,"Brown County, Illinois",17,009
37743,47519,"Marion County, Illinois",17,121
13621,48417,"Mason County, Illinois",17,125
27812,52700,"Iroquois County, Illinois",17,075
13287,48500,"Clay County, Illinois",17,025
5064,44076,"Gallatin County, Illinois",17,059
34168,85747,"Monroe County, Illinois",17,133
16968,50625,"Union County, Illinois",17,181
284819,54489,"Winnebago County, Illinois",17,201
5510,34640,"Pulaski County, Illinois",17,153
6953,52357,"Schuyler County, Illinois",17,169
17407,53647,"Edgar County, Illinois",17,045
53537,69272,"Boone County, Illinois",17,007
33122,57436,"Bureau County, Illinois",17,011
51353,46202,"Coles County, Illinois",17,029
18972,49779,"Crawford County, Illinois",17,033
5721,63638,"Putnam County, Illinois",17,155
15932,55587,"De Witt County, Illinois",17,039
34389,58194,"Lee County, Illinois",17,103
45463,55159,"Macoupin County, Illinois",17,117
15766,48894,"Richland County, Illinois",17,159
14058,61763,"Washington County, Illinois",17,189
589481,82215,"Washington County, Oregon",41,067
39102,54886,"Clatsop County, Oregon",41,007
4611,41165,"Cameron County, Pennsylvania",42,023
626806,89139,"Bucks County, Pennsylvania",42,017
365052,63897,"Lehigh County, Pennsylvania",42,077
38715,46680,"Clarion County, Pennsylvania",42,031
36870,54776,"Greene County, Pennsylvania",42,059
317663,53473,"Luzerne County, Pennsylvania",42,079
65715,50550,"Columbia County, Pennsylvania",42,037
43846,47603,"Jefferson County, Pennsylvania",42,065
46053,63718,"Perry County, Pennsylvania",42,099
6135,47407,"Sullivan County, Pennsylvania",42,113
163869,73521,"Kent County, Rhode Island",44,003
126060,85531,"Washington County, Rhode Island",44,009
38194,44226,"Newberry County, South Carolina",45,071
33957,40900,"Clarendon County, South Carolina",45,027
106757,45661,"Sumter County, South Carolina",45,085
21346,35803,"Barnwell County, South Carolina",45,011
67027,38448,"Darlington County, South Carolina",45,031
265872,65361,"York County, South Carolina",45,091
56895,36883,"Cherokee County, South Carolina",45,021
28657,45601,"Jasper County, South Carolina",45,053
17365,32371,"Lee County, South Carolina",45,061
24627,38741,"Abbeville County, South Carolina",45,001
3848,53862,"Lyman County, South Dakota",46,085
4318,65437,"Deuel County, South Dakota",46,039
27976,49633,"Glenn County, California",06,021
225817,52537,"Butte County, California",06,007
150691,57848,"Kings County, California",06,031
18660,55359,"Plumas County, California",06,063
282165,73518,"San Luis Obispo County, California",06,079
984521,53969,"Fresno County, California",06,019
887641,53350,"Kern County, California",06,029
3168044,90234,"Orange County, California",06,059
847263,88131,"Ventura County, California",06,111
45514,63158,"Calaveras County, California",06,009
96109,59050,"Sutter County, California",06,101
767423,122641,"San Mateo County, California",06,081
54045,60108,"Tuolumne County, California",06,109
742603,64432,"San Joaquin County, California",06,077
38429,62772,"Amador County, California",06,005
4290,51155,"Phillips County, Colorado",08,095
13253,52221,"Archuleta County, Colorado",08,007
705576,68592,"Denver County, Colorado",08,031
1489,41731,"Kiowa County, Colorado",08,061
6679,38137,"Huerfano County, Colorado",08,055
3561,35878,"Baca County, Colorado",08,009
6018,76429,"Gilpin County, Colorado",08,047
7447,49349,"Kit Carson County, Colorado",08,063
16802,56577,"Gunnison County, Colorado",08,051
824,62188,"Mineral County, Colorado",08,079
4796,66417,"Ouray County, Colorado",08,091
2322,43150,"Sedgwick County, Colorado",08,115
305345,74150,"Weld County, Colorado",08,123
4776,53119,"Custer County, Colorado",08,027
3745,30965,"Costilla County, Colorado",08,023
336041,119730,"Douglas County, Colorado",08,035
7751,50565,"Lake County, Colorado",08,065
55617,68685,"La Plata County, Colorado",08,067
17926,78935,"Pitkin County, Colorado",08,097
11305,39123,"Rio Grande County, Colorado",08,105
5787,30900,"Bent County, Colorado",08,011
5754,42135,"Crowley County, Colorado",08,025
589,54625,"San Juan County, Colorado",08,111
344786,71881,"Larimer County, Colorado",08,069
22380,53318,"Logan County, Colorado",08,075
8049,67038,"San Miguel County, Colorado",08,113
24524,66592,"Teller County, Colorado",08,119
25717,99199,"Elbert County, Colorado",08,039
14266,41817,"Las Animas County, Colorado",08,071
5585,47258,"Lincoln County, Colorado",08,073
30649,79277,"Summit County, Colorado",08,117
16107,37515,"Alamosa County, Colorado",08,003
30565,45269,"Delta County, Colorado",08,029
47321,49409,"Fremont County, Colorado",08,043
41686,50489,"Montrose County, Colorado",08,085
28517,53682,"Morgan County, Colorado",08,087
6592,38571,"Saguache County, Colorado",08,109
12022,41929,"Prowers County, Colorado",08,099
4868,50094,"Washington County, Colorado",08,121
15303,71198,"Grand County, Colorado",08,049
18282,38169,"Otero County, Colorado",08,089
67886,96416,"Broomfield County, Colorado",08,014
224384,63162,"Sussex County, Delaware",10,005
692683,86420,"District of Columbia, District of Columbia",11,001
857513,69905,"New Haven County, Connecticut",09,009
893561,75148,"Hartford County, Connecticut",09,003
936374,51657,"Shelby County, Tennessee",47,157
27977,43305,"Henderson County, Tennessee",47,077
53679,49139,"Jefferson County, Tennessee",47,089
14816,49370,"Sequatchie County, Tennessee",47,153
27886,42637,"Carroll County, Tennessee",47,017
687488,60388,"Davidson County, Tennessee",47,037
7962,41034,"Perry County, Tennessee",47,135
12104,49167,"Meigs County, Tennessee",47,121
17623,37905,"Haywood County, Tennessee",47,075
200180,57541,"Montgomery County, Tennessee",47,125
13344,40516,"Grundy County, Tennessee",47,061
35552,36716,"Cocke County, Tennessee",47,029
19847,45511,"DeKalb County, Tennessee",47,041
12027,37277,"Lewis County, Tennessee",47,101
30365,39615,"Obion County, Tennessee",47,131
61447,61291,"Tipton County, Tennessee",47,167
37416,44185,"Dyer County, Tennessee",47,045
360919,55070,"Hamilton County, Tennessee",47,065
16814,43306,"Polk County, Tennessee",47,139
26800,41998,"White County, Tennessee",47,185
157050,46684,"Sullivan County, Tennessee",47,163
31222,57714,"Schoharie County, New York",36,095
53646,50482,"Fulton County, New York",36,035
159185,68991,"Rensselaer County, New York",36,083
50477,50407,"Franklin County, New York",36,033
2287388,68666,"Queens County, New York",36,081
61616,57258,"Washington County, New York",36,115
1631993,86553,"New York County, New York",36,061
77425,58377,"Cayuga County, New York",36,011
324422,93024,"Rockland County, New York",36,087
210820,55522,"Niagara County, New York",36,063
37459,56763,"Essex County, New York",36,031
1356509,116100,"Nassau County, New York",36,059
17920,52327,"Schuyler County, New York",36,097
47909,52002,"Chenango County, New York",36,017
112842,52685,"Jefferson County, New York",36,045
1483832,101031,"Suffolk County, New York",36,103
40305,58052,"Wyoming County, New York",36,121
118339,55967,"Oswego County, New York",36,075
90519,59449,"Wayne County, New York",36,117
193188,52226,"Broome County, New York",36,007
857,56339,"Hinsdale County, Colorado",08,053
919355,58121,"Erie County, New York",36,029
75116,57426,"Sullivan County, New York",36,105
380085,79944,"Orange County, New York",36,071
61053,51659,"Haywood County, North Carolina",37,087
375195,51569,"Forsyth County, North Carolina",37,067
485707,56128,"Lake County, Indiana",18,089
38287,55522,"Montgomery County, Indiana",18,107
35376,52504,"Adams County, Indiana",18,001
23194,46175,"Fayette County, Indiana",18,041
26234,55637,"Clay County, Indiana",18,021
42543,60666,"Dubois County, Indiana",18,037
22774,62462,"Franklin County, Indiana",18,047
75164,74072,"Hancock County, Indiana",18,059
82331,52373,"Howard County, Indiana",18,067
5874,60128,"Ohio County, Indiana",18,115
16946,52618,"Parke County, Indiana",18,121
24926,48036,"Randolph County, Indiana",18,135
8677,49488,"Benton County, Indiana",18,007
15064,61030,"Brown County, Indiana",18,013
37384,61047,"Putnam County, Indiana",18,133
27848,47983,"Washington County, Indiana",18,175
33120,53629,"Daviess County, Indiana",18,027
48255,49832,"Henry County, Indiana",18,065
37065,47380,"Knox County, Indiana",18,083
129455,49522,"Madison County, Indiana",18,095
12378,50194,"Pike County, Indiana",18,125
12559,49580,"Pulaski County, Indiana",18,131
34453,58279,"Steuben County, Indiana",18,151
98320,66910,"Laramie County, Wyoming",56,021
23280,84678,"Teton County, Wyoming",56,039
28180,41614,"San Jacinto County, Texas",48,407
41018,52162,"Upshur County, Texas",48,459
51832,59642,"Waller County, Texas",48,473
49173,76692,"Wilson County, Texas",48,493
23064,48248,"Hockley County, Texas",48,219
168167,79421,"Midland County, Texas",48,329
21047,53411,"Llano County, Texas",48,299
34537,54648,"Fannin County, Texas",48,147
222981,49181,"Brazos County, Texas",48,041
20706,63054,"Gaines County, Texas",48,165
22410,47952,"Gray County, Texas",48,179
8852,52045,"Jack County, Texas",48,237
18296,52148,"Bosque County, Texas",48,035
1952843,57157,"Bexar County, Texas",48,029
3577,40739,"Baylor County, Texas",48,023
833822,86913,"Denton County, Texas",48,121
332885,73330,"Galveston County, Texas",48,167
